,co,nh3,no,no2,o3,pm10,pm2_5,so2,latitude,longitude,Count,AQI,Air_Pollution_Level
4680,371.59354,0.22052224,1.041467,128.01057,171.36174,27.859827,66.21385,1.3510342,40.1911,105.0282,5.0,2386.0,Hazardous
4681,379.21017,0.2549368,1.1153038,118.40701,176.80931,28.11539,70.95591,1.3840761,40.1911,105.0282,5.0,2431.0,Hazardous
4682,384.7831,0.26479802,1.1389681,111.08929,183.06601,27.980558,72.16281,1.3359464,40.1911,105.0282,5.0,2463.0,Hazardous
4683,390.15604,0.26228926,1.2089051,101.69304,185.29938,29.546713,83.63666,1.2126236,40.1911,105.0282,5.0,2495.0,Hazardous
4684,397.02838,0.27530482,1.2102574,95.98167,194.49883,31.614477,89.62567,1.2130136,40.1911,105.0282,5.0,2535.0,Hazardous
4685,400.4707,0.2900022,1.1041942,96.64275,205.68755,32.63,85.69905,1.2906594,40.1911,105.0282,5.0,2556.0,Hazardous
4686,398.9231,0.28487107,1.0610816,97.11131,203.60806,33.703365,89.16341,1.2708097,40.1911,105.0282,5.0,2556.0,Hazardous
4687,395.68225,0.2978286,1.1531005,95.35999,197.09665,35.007675,96.41612,1.2120845,40.1911,105.0282,5.0,2556.0,Hazardous
4688,393.01968,0.3287492,1.096428,103.09099,209.34691,34.345913,89.35061,1.2072731,40.1911,105.0282,5.0,2556.0,Hazardous
4689,387.51865,0.32074508,0.86369354,115.81552,216.45383,34.2229,88.72257,1.1659981,40.1911,105.0282,5.0,2556.0,Hazardous
4690,382.2591,0.28957796,0.5602685,132.2776,217.7134,36.47825,99.75681,1.1189724,40.1911,105.0282,5.0,2556.0,Hazardous
4691,375.98035,0.21595636,0.35339162,172.46796,222.53513,34.697025,94.64585,0.5899163,40.1911,105.0282,5.0,2556.0,Hazardous
4692,357.18387,0.13440815,0.4405839,147.66455,141.90205,34.48307,110.75898,0.44468895,40.1911,105.0282,5.0,2556.0,Hazardous
4693,333.96848,0.12920345,0.3315711,146.68655,76.609085,28.11215,86.01784,0.22155558,40.1911,105.0282,5.0,2547.0,Hazardous
4694,315.52606,0.10495894,0.462222,142.7266,83.259865,27.540968,92.92512,0.1778988,40.1911,105.0282,5.0,2528.0,Hazardous
4695,302.78165,0.10020671,0.54895693,129.71318,77.21378,28.84019,104.89535,0.14611357,40.1911,105.0282,5.0,2512.0,Hazardous
4696,297.2349,0.10738717,0.5170754,122.410164,76.49542,30.698448,113.542725,0.18583362,40.1911,105.0282,5.0,2480.0,Hazardous
4697,296.4229,0.11629595,0.4998157,118.09645,79.49508,33.57351,127.21733,0.27634498,40.1911,105.0282,5.0,2449.0,Hazardous
4698,293.79642,0.11279358,0.44366464,116.19211,70.82418,31.08533,111.908585,0.35771543,40.1911,105.0282,5.0,2412.0,Hazardous
4699,276.24615,0.101535775,0.33409092,107.046394,42.63756,25.130566,87.69933,0.33674783,40.1911,105.0282,5.0,2301.0,Hazardous
4700,247.63005,0.09559722,0.19585355,96.46288,18.290895,19.56738,68.63168,0.27269796,40.1911,105.0282,5.0,2165.0,Hazardous
4701,219.93958,0.088285886,0.1274353,88.43525,8.859837,15.37263,56.252,0.2366137,40.1911,105.0282,5.0,2056.0,Hazardous
4702,201.53091,0.08530557,0.09062218,86.39847,8.68135,14.294995,56.55837,0.22383042,40.1911,105.0282,5.0,1981.0,Hazardous
4703,190.91545,0.08188227,0.12750079,83.12057,8.185519,15.08913,61.55986,0.2451973,40.1911,105.0282,5.0,1948.0,Hazardous
4704,185.24426,0.07834523,0.14997071,79.02848,6.5374227,15.760912,64.84662,0.2852592,40.1911,105.0282,5.0,1944.0,Hazardous
4705,182.62578,0.07608914,0.13725136,76.87208,7.3714194,16.051254,65.24408,0.34521753,40.1911,105.0282,5.0,1928.0,Hazardous
4706,179.8341,0.07319539,0.11634668,75.233955,5.87154,16.25472,66.09592,0.39820984,40.1911,105.0282,5.0,1825.0,Hazardous
4707,176.71355,0.07078783,0.121360295,73.45745,6.075143,16.31465,65.7554,0.452459,40.1911,105.0282,5.0,1657.0,Hazardous
4708,173.21835,0.06616408,0.103909925,73.02005,4.52358,16.109676,64.444305,0.46894234,40.1911,105.0282,5.0,1494.0,Hazardous
4709,170.00743,0.06396607,0.092612274,73.90261,4.637749,15.852125,62.722923,0.4593756,40.1911,105.0282,5.0,1385.0,Hazardous
4710,167.72029,0.06236817,0.11216876,74.457245,4.5745335,15.108012,59.031162,0.4333214,40.1911,105.0282,5.0,1323.0,Hazardous
4711,165.18375,0.062416222,0.12551105,75.61298,4.593965,14.563877,56.546093,0.41439995,40.1911,105.0282,5.0,1290.0,Hazardous
4712,161.07852,0.067279436,0.086867325,79.67422,4.5422573,13.920403,53.604973,0.39563948,40.1911,105.0282,5.0,1274.0,Hazardous
4713,157.32726,0.067369126,0.11759451,81.30204,5.7711973,14.075353,54.757626,0.388935,40.1911,105.0282,5.0,1258.0,Hazardous
4714,153.7014,0.06547665,0.10659331,83.656364,5.569913,13.507523,51.276657,0.3756429,40.1911,105.0282,5.0,1239.0,Hazardous
4715,149.52975,0.06511493,0.01420853,94.10843,6.18984,11.124733,38.294388,0.36336166,40.1911,105.0282,5.0,1219.0,Hazardous
4716,148.15839,0.06021881,0.13223632,95.52685,6.435299,11.332618,41.724747,0.3920324,40.1911,105.0282,5.0,1200.0,Hazardous
4717,148.19872,0.057585884,0.17526963,96.134865,6.759986,11.043738,40.95395,0.39346275,40.1911,105.0282,5.0,1187.0,Hazardous
4718,149.30992,0.06126417,0.15203428,100.39146,7.055836,9.87924,35.091835,0.38181543,40.1911,105.0282,5.0,1172.0,Hazardous
4719,150.10207,0.06358438,0.19612736,99.89563,6.9948025,10.227251,37.873394,0.4013769,40.1911,105.0282,5.0,1148.0,Hazardous
4720,149.44933,0.065172255,0.22536515,96.68998,7.037214,10.857099,41.77242,0.43240398,40.1911,105.0282,5.0,1125.0,Hazardous
4721,148.78789,0.061824083,0.3380744,82.31444,6.0735817,13.784259,57.149857,0.49191484,40.1911,105.0282,5.0,1104.0,Hazardous
4722,148.55234,0.055911012,0.32417834,73.08616,5.4958696,13.428366,53.255463,0.46354333,40.1911,105.0282,5.0,1083.0,Hazardous
4723,149.43047,0.0533137,0.20065431,74.89498,5.7436156,12.417061,45.231327,0.43611798,40.1911,105.0282,5.0,1083.0,Hazardous
4724,150.36455,0.055824988,0.15253471,77.62721,5.8613343,13.267746,48.46667,0.4683046,40.1911,105.0282,5.0,1084.0,Hazardous
4725,151.30931,0.056455683,0.17226799,77.41109,5.7765985,13.955671,52.897232,0.5038224,40.1911,105.0282,5.0,1090.0,Hazardous
4726,151.78255,0.056297436,0.1731711,76.65367,5.644169,13.790602,53.246864,0.5228959,40.1911,105.0282,5.0,1093.0,Hazardous
4727,152.08218,0.052767504,0.21866043,73.130356,5.2868567,14.188676,57.4655,0.5118033,40.1911,105.0282,5.0,1095.0,Hazardous
4728,152.20355,0.04743958,0.27584836,67.06309,3.9700813,15.0482025,62.70325,0.4959146,40.1911,105.0282,5.0,1095.0,Hazardous
4729,152.3575,0.04614018,0.27172682,63.00241,4.525199,15.897896,65.32491,0.49141988,40.1911,105.0282,5.0,1096.0,Hazardous
4730,151.59062,0.052666314,0.3193725,57.15102,4.756658,17.126078,69.87175,0.48869202,40.1911,105.0282,5.0,1096.0,Hazardous
4731,150.81862,0.057950586,0.37263146,51.277897,5.1497164,18.009342,72.27033,0.47472566,40.1911,105.0282,5.0,1096.0,Hazardous
4732,150.34436,0.059497602,0.3804248,46.658367,5.5554824,19.122576,75.32077,0.46976522,40.1911,105.0282,5.0,1096.0,Hazardous
4733,150.18533,0.055467635,0.346898,43.6454,4.588457,19.456646,74.66413,0.47006273,40.1911,105.0282,5.0,1096.0,Hazardous
4734,149.62852,0.054578062,0.29724184,42.860413,6.347154,19.376688,72.10635,0.47924125,40.1911,105.0282,5.0,1096.0,Hazardous
4735,148.85172,0.055481832,0.23736548,44.430504,5.9146442,19.374382,72.2485,0.46690312,40.1911,105.0282,5.0,1096.0,Hazardous
4736,157.73315,0.120752856,0.36748153,70.307556,83.43297,18.495462,48.635826,0.7568763,40.1911,105.0282,5.0,1128.0,Hazardous
4737,188.34824,0.223066,1.0674092,89.3034,201.84505,19.776396,55.113186,0.9753705,40.1911,105.0282,5.0,1308.0,Hazardous
4738,207.9481,0.19619697,1.2185094,101.09862,205.73877,17.563255,22.675428,0.9038974,40.1911,105.0282,5.0,1423.0,Hazardous
4739,225.05577,0.19115992,0.9949529,110.33488,174.65605,15.225217,23.236742,0.79905343,40.1911,105.0282,5.0,1524.0,Hazardous
4740,242.27324,0.17945775,0.95431423,118.085724,165.31181,17.50054,38.292446,0.67597467,40.1911,105.0282,5.0,1625.0,Hazardous
4741,260.63443,0.12579083,0.77146703,129.89049,139.64217,20.28654,54.544056,0.4611527,40.1911,105.0282,5.0,1733.0,Hazardous
